% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.294	1	1	30	5	2	28	1095	0
0.295	1	4	30	6	4	28	1095	0
0.296	1	4	30	7	4	28	1095	0
0.297	1	1	30	8	2	28	1095	0
0.298	1	1	30	9	2	28	749	0
0.298	1	3	30	9	3	28	749	0
0.299	1	1	30	10	2	28	749	0
0.299	1	3	30	10	3	28	749	0
0.3	1	3	31	1	3	28	1095	0
0.301	1	2	31	2	1	28	1095	0
0.301	1	4	31	2	4	28	1095	0
0.302	1	2	31	3	1	28	1095	0
0.302	1	4	31	3	4	28	1095	0
0.305	1	4	31	6	4	28	2292	0
0.307	1	2	31	8	1	28	1095	0
0.308	1	2	31	9	1	28	749	0
0.308	1	3	31	9	3	28	749	0
0.309	1	2	31	10	1	28	749	0
0.309	1	3	31	10	3	28	749	0
0.31	1	2	32	1	1	28	749	0
0.31	1	3	32	1	3	28	749	0
0.311	1	2	32	2	1	28	749	0
0.312	1	4	32	3	4	28	1095	0
0.313	1	4	32	4	4	28	1095	0
0.315	1	4	32	6	4	28	1095	0
0.316	1	4	32	7	4	28	1095	0
0.317	1	2	32	8	1	28	1095	0
0.318	1	2	32	9	1	28	749	0
0.318	1	3	32	9	3	28	749	0
0.319	1	3	32	10	3	28	1095	0
0.32	1	2	33	1	1	28	749	0
0.32	1	3	33	1	3	28	749	0
0.321	1	2	33	2	1	28	749	0
0.321	1	4	33	2	4	28	749	0
0.322	1	1	33	3	2	28	1095	0
0.322	1	4	33	3	4	28	1095	0
0.323	1	1	33	4	2	28	2292	0
0.324	1	1	33	5	2	28	2292	0
0.325	1	4	33	6	4	28	2292	0
0.327	1	2	33	8	1	28	1095	0
0.327	1	1	33	8	2	28	1095	0
0.328	1	2	33	9	1	28	749	0
0.328	1	1	33	9	2	28	749	0
0.328	1	3	33	9	3	28	749	0
0.329	1	1	33	10	2	28	1095	0
0.329	1	3	33	10	3	28	1095	0
0.33	1	2	34	1	1	28	749	0
0.33	1	1	34	1	2	28	749	0
0.33	1	3	34	1	3	28	749	0
0.331	1	2	34	2	1	28	749	0
0.331	1	1	34	2	2	28	749	0
0.331	1	4	34	2	4	28	749	0
0.332	1	1	34	3	2	28	1095	0
0.332	1	4	34	3	4	28	1095	0
0.333	1	1	34	4	2	28	2292	0
0.335	1	4	34	6	4	28	2292	0
0.337	1	2	34	8	1	28	1095	0
0.337	1	1	34	8	2	28	1095	0
0.338	1	2	34	9	1	28	749	0
0.338	1	1	34	9	2	28	749	0
0.338	1	3	34	9	3	28	749	0
0.339	1	1	34	10	2	28	1095	0
0.339	1	3	34	10	3	28	1095	0
0.34	1	2	35	1	1	28	1095	0
0.34	1	3	35	1	3	28	1095	0
0.341	1	2	35	2	1	28	1095	0
0.341	1	4	35	2	4	28	1095	0
0.342	1	4	35	3	4	28	2292	0
0.345	1	4	35	6	4	28	2292	0
0.347	1	2	35	8	1	28	1095	0
0.348	1	3	35	9	3	28	749	0
0.349	1	3	35	10	3	28	749	0
0.35	1	3	36	1	3	28	749	0
0.351	1	4	36	2	4	28	749	0
0.352	1	4	36	3	4	28	749	0
0.354	1	2	36	5	1	28	1095	0
0.355	1	2	36	6	1	28	749	0
0.355	1	4	36	6	4	28	749	0
0.356	1	4	36	7	4	28	1095	0
0.357	1	2	36	8	1	28	1095	0
0.358	1	2	36	9	1	28	749	0
0.358	1	3	36	9	3	28	749	0
0.359	1	3	36	10	3	28	1095	0
0.36	1	2	37	1	1	28	749	0
0.36	1	3	37	1	3	28	749	0
0.361	1	2	37	2	1	28	749	0
0.361	1	4	37	2	4	28	749	0
0.362	1	2	37	3	1	28	749	0
0.362	1	1	37	3	2	28	749	0
0.362	1	4	37	3	4	28	749	0
0.363	1	1	37	4	2	28	2292	0
