% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0422143	1	1	2	6.74449e-11	142186	0
0.0422143	1	2	1	3.36092e-11	70854.5	0
0.0422143	1	3	3	3.36092e-11	70854.5	0
0.0422143	1	4	4	3.36092e-11	70854.5	0
0.0432143	1	1	2	6.74503e-11	142198	0
0.0432143	1	2	1	3.36092e-11	70854.5	0
0.0432143	1	3	3	3.36092e-11	70854.5	0
0.0432143	1	4	4	3.36092e-11	70854.5	0
0.0442143	1	1	2	6.74557e-11	142209	0
0.0442143	1	2	1	3.36092e-11	70854.5	0
0.0442143	1	3	3	3.36092e-11	70854.5	0
0.0442143	1	4	4	3.36092e-11	70854.5	0
0.0452143	1	1	2	6.74611e-11	142221	0
0.0452143	1	2	1	3.36092e-11	70854.5	0
0.0452143	1	3	3	3.36092e-11	70854.5	0
0.0452143	1	4	4	3.36092e-11	70854.5	0
0.0462143	1	1	2	6.74665e-11	142232	0
0.0462143	1	2	1	3.36092e-11	70854.5	0
0.0462143	1	3	3	3.36092e-11	70854.5	0
0.0462143	1	4	4	3.36092e-11	70854.5	0
0.0472143	1	1	2	6.74719e-11	142243	0
0.0472143	1	2	1	3.36092e-11	70854.5	0
0.0472143	1	3	3	3.36092e-11	70854.5	0
0.0472143	1	4	4	3.36092e-11	70854.5	0
0.0482143	1	1	2	6.74773e-11	142255	0
0.0482143	1	2	1	3.36092e-11	70854.5	0
0.0482143	1	3	3	3.36092e-11	70854.5	0
0.0482143	1	4	4	3.36092e-11	70854.5	0
0.0492143	1	1	2	6.74828e-11	142266	0
0.0492143	1	2	1	3.36092e-11	70854.5	0
0.0492143	1	3	3	3.36092e-11	70854.5	0
0.0492143	1	4	4	3.36092e-11	70854.5	0
0.0502143	1	1	2	6.74882e-11	142278	0
0.0502143	1	2	1	3.36092e-11	70854.5	0
0.0502143	1	3	3	3.36092e-11	70854.5	0
0.0502143	1	4	4	3.36092e-11	70854.5	0
0.0512143	1	1	2	6.74936e-11	142289	0
0.0512143	1	2	1	3.36092e-11	70854.5	0
0.0512143	1	3	3	3.36092e-11	70854.5	0
0.0512143	1	4	4	3.36092e-11	70854.5	0
0.0522143	1	1	2	6.7499e-11	142300	0
0.0522143	1	2	1	3.36092e-11	70854.5	0
0.0522143	1	3	3	3.36092e-11	70854.5	0
0.0522143	1	4	4	3.36092e-11	70854.5	0
0.0532143	1	1	2	6.75044e-11	142312	0
0.0532143	1	2	1	3.36092e-11	70854.5	0
0.0532143	1	3	3	3.36092e-11	70854.5	0
0.0532143	1	4	4	3.36092e-11	70854.5	0
0.0542143	1	1	2	6.75098e-11	142323	0
0.0542143	1	2	1	3.36092e-11	70854.5	0
0.0542143	1	3	3	3.36092e-11	70854.5	0
0.0542143	1	4	4	3.36092e-11	70854.5	0
0.0552143	1	1	2	6.75152e-11	142335	0
0.0552143	1	2	1	3.36092e-11	70854.5	0
0.0552143	1	3	3	3.36092e-11	70854.5	0
0.0552143	1	4	4	3.36092e-11	70854.5	0
0.0562143	1	1	2	6.75206e-11	142346	0
0.0562143	1	2	1	3.36092e-11	70854.5	0
0.0562143	1	3	3	3.36092e-11	70854.5	0
0.0562143	1	4	4	3.36092e-11	70854.5	0
0.0572143	1	1	2	6.7526e-11	142357	0
0.0572143	1	2	1	3.36092e-11	70854.5	0
0.0572143	1	3	3	3.36092e-11	70854.5	0
0.0572143	1	4	4	3.36092e-11	70854.5	0
0.0582143	1	1	2	6.75315e-11	142369	0
0.0582143	1	2	1	3.36092e-11	70854.5	0
0.0582143	1	3	3	3.36092e-11	70854.5	0
0.0582143	1	4	4	3.36092e-11	70854.5	0
0.0592143	1	1	2	6.75369e-11	142380	0
0.0592143	1	2	1	3.36092e-11	70854.5	0
0.0592143	1	3	3	3.36092e-11	70854.5	0
0.0592143	1	4	4	3.36092e-11	70854.5	0
0.0602143	1	1	2	6.75423e-11	142392	0
0.0602143	1	2	1	3.36092e-11	70854.5	0
0.0602143	1	3	3	3.36092e-11	70854.5	0
0.0602143	1	4	4	3.36092e-11	70854.5	0
0.0612143	1	1	2	6.75477e-11	142403	0
0.0612143	1	2	1	3.36092e-11	70854.5	0
0.0612143	1	3	3	3.36092e-11	70854.5	0
0.0612143	1	4	4	3.36092e-11	70854.5	0
0.0622143	1	1	2	6.75531e-11	142415	0
0.0622143	1	2	1	3.36092e-11	70854.5	0
0.0622143	1	3	3	3.36092e-11	70854.5	0
0.0622143	1	4	4	3.36092e-11	70854.5	0
0.0632143	1	1	2	6.75585e-11	142426	0
0.0632143	1	2	1	3.36092e-11	70854.5	0
0.0632143	1	3	3	3.36092e-11	70854.5	0
0.0632143	1	4	4	3.36092e-11	70854.5	0
0.0642143	1	1	2	6.7564e-11	142437	0
0.0642143	1	2	1	3.36092e-11	70854.5	0
0.0642143	1	3	3	3.36092e-11	70854.5	0
0.0642143	1	4	4	3.36092e-11	70854.5	0
0.0652143	1	1	2	6.75694e-11	142449	0
0.0652143	1	2	1	3.36092e-11	70854.5	0
0.0652143	1	3	3	3.36092e-11	70854.5	0
0.0652143	1	4	4	3.36092e-11	70854.5	0
0.0662143	1	1	2	6.75748e-11	142460	0
0.0662143	1	2	1	3.36092e-11	70854.5	0
0.0662143	1	3	3	3.36092e-11	70854.5	0
0.0662143	1	4	4	3.36092e-11	70854.5	0
0.0672143	1	1	2	6.75802e-11	142472	0
0.0672143	1	2	1	3.36092e-11	70854.5	0
0.0672143	1	3	3	3.36092e-11	70854.5	0
0.0672143	1	4	4	3.36092e-11	70854.5	0
0.0682143	1	1	2	6.75856e-11	142483	0
0.0682143	1	2	1	3.36092e-11	70854.5	0
0.0682143	1	3	3	3.36092e-11	70854.5	0
0.0682143	1	4	4	3.36092e-11	70854.5	0
0.0692143	1	1	2	6.75911e-11	142494	0
0.0692143	1	2	1	3.36092e-11	70854.5	0
0.0692143	1	3	3	3.36092e-11	70854.5	0
0.0692143	1	4	4	3.36092e-11	70854.5	0
0.0702143	1	1	2	6.75965e-11	142506	0
0.0702143	1	2	1	3.36092e-11	70854.5	0
0.0702143	1	3	3	3.36092e-11	70854.5	0
0.0702143	1	4	4	3.36092e-11	70854.5	0
0.0712143	1	1	2	6.76019e-11	142517	0
0.0712143	1	2	1	3.36092e-11	70854.5	0
0.0712143	1	3	3	3.36092e-11	70854.5	0
0.0712143	1	4	4	3.36092e-11	70854.5	0
0.0722143	1	1	2	6.76073e-11	142529	0
0.0722143	1	2	1	3.36092e-11	70854.5	0
0.0722143	1	3	3	3.36092e-11	70854.5	0
0.0722143	1	4	4	3.36092e-11	70854.5	0
0.0732143	1	1	2	6.76128e-11	142540	0
0.0732143	1	2	1	3.36092e-11	70854.5	0
0.0732143	1	3	3	3.36092e-11	70854.5	0
0.0732143	1	4	4	3.36092e-11	70854.5	0
0.0742143	1	1	2	6.76182e-11	142552	0
0.0742143	1	2	1	3.36092e-11	70854.5	0
0.0742143	1	3	3	3.36092e-11	70854.5	0
0.0742143	1	4	4	3.36092e-11	70854.5	0
0.0752143	1	1	2	6.76236e-11	142563	0
0.0752143	1	2	1	3.36092e-11	70854.5	0
0.0752143	1	3	3	3.36092e-11	70854.5	0
0.0752143	1	4	4	3.36092e-11	70854.5	0
0.0762143	1	1	2	6.7629e-11	142575	0
0.0762143	1	2	1	3.36092e-11	70854.5	0
0.0762143	1	3	3	3.36092e-11	70854.5	0
0.0762143	1	4	4	3.36092e-11	70854.5	0
0.0772143	1	1	2	6.76345e-11	142586	0
0.0772143	1	2	1	3.36092e-11	70854.5	0
0.0772143	1	3	3	3.36092e-11	70854.5	0
0.0772143	1	4	4	3.36092e-11	70854.5	0
0.0782143	1	1	2	6.76399e-11	142597	0
0.0782143	1	2	1	3.36092e-11	70854.5	0
0.0782143	1	3	3	3.36092e-11	70854.5	0
0.0782143	1	4	4	3.36092e-11	70854.5	0
0.0792143	1	1	2	6.76453e-11	142609	0
0.0792143	1	2	1	3.36092e-11	70854.5	0
0.0792143	1	3	3	3.36092e-11	70854.5	0
0.0792143	1	4	4	3.36092e-11	70854.5	0
0.0802143	1	1	2	6.76508e-11	142620	0
0.0802143	1	2	1	3.36092e-11	70854.5	0
0.0802143	1	3	3	3.36092e-11	70854.5	0
0.0802143	1	4	4	3.36092e-11	70854.5	0
0.0812143	1	1	2	6.76562e-11	142632	0
0.0812143	1	2	1	3.36092e-11	70854.5	0
0.0812143	1	3	3	3.36092e-11	70854.5	0
0.0812143	1	4	4	3.36092e-11	70854.5	0
0.0822143	1	1	2	6.76616e-11	142643	0
0.0822143	1	2	1	3.36092e-11	70854.5	0
0.0822143	1	3	3	3.36092e-11	70854.5	0
0.0822143	1	4	4	3.36092e-11	70854.5	0
0.0832143	1	1	2	6.7667e-11	142655	0
0.0832143	1	2	1	3.36092e-11	70854.5	0
0.0832143	1	3	3	3.36092e-11	70854.5	0
0.0832143	1	4	4	3.36092e-11	70854.5	0
0.0842143	1	1	2	6.76725e-11	142666	0
0.0842143	1	2	1	3.36092e-11	70854.5	0
0.0842143	1	3	3	3.36092e-11	70854.5	0
